order_id,date,customer_id,product_id,product_name,category,quantity,unit_price,discount,region,salesperson
1001,2024-01-15,C501,P201,Laptop Pro 15,Electronics,2,999.99,0.10,North,Alice Johnson
1002,2024-01-15,C502,P105,Executive Desk Chair,Furniture,1,299.50,0.00,South,Bob Smith
1003,2024-01-16,C503,P201,Laptop Pro 15,Electronics,1,999.99,0.15,East,Alice Johnson
1004,2024-01-18,C504,P302,Wireless Mouse,Electronics,3,24.99,0.05,West,Carol Davis
1005,2024-01-20,C505,P401,Standing Desk,Furniture,1,599.00,0.20,North,David Lee
1006,2024-01-22,C506,P150,Office Bookshelf,Furniture,2,189.99,0.00,South,Bob Smith
1007,2024-01-25,C507,P201,Laptop Pro 15,Electronics,1,999.99,0.10,East,Alice Johnson
1008,2024-01-28,C508,P303,Mechanical Keyboard,Electronics,2,89.99,0.00,West,Carol Davis
1009,2024-02-01,C509,P402,Conference Table,Furniture,1,1299.00,0.15,North,David Lee
1010,2024-02-03,C510,P304,USB-C Hub,Electronics,4,49.99,0.10,South,Bob Smith
1011,2024-02-05,C511,P105,Executive Desk Chair,Furniture,3,299.50,0.05,East,Alice Johnson
1012,2024-02-08,C512,P501,Notebook Set,Stationery,10,12.99,0.00,West,Carol Davis
1013,2024-02-10,C513,P201,Laptop Pro 15,Electronics,2,999.99,0.20,North,Alice Johnson
1014,2024-02-12,C514,P502,Ballpoint Pens (12pk),Stationery,5,8.99,0.00,South,Bob Smith
1015,2024-02-15,C515,P305,Webcam HD,Electronics,1,79.99,0.10,East,Carol Davis
1016,2024-02-18,C516,P403,Filing Cabinet,Furniture,2,249.99,0.00,West,David Lee
1017,2024-02-20,C517,P503,Sticky Notes Pack,Stationery,8,5.99,0.00,North,Alice Johnson
1018,2024-02-22,C518,P306,Monitor 27 inch,Electronics,1,349.99,0.15,South,Bob Smith
1019,2024-02-25,C519,P404,Ergonomic Footrest,Furniture,1,45.99,0.00,East,Carol Davis
1020,2024-02-28,C520,P307,Laptop Stand,Electronics,2,39.99,0.05,West,David Lee
1021,2024-03-01,C521,P201,Laptop Pro 15,Electronics,1,999.99,0.10,North,Alice Johnson
1022,2024-03-03,C522,P504,Legal Pads (6pk),Stationery,4,14.99,0.00,South,Bob Smith
1023,2024-03-05,C523,P308,External SSD 1TB,Electronics,1,129.99,0.10,East,Carol Davis
1024,2024-03-08,C524,P405,Task Chair,Furniture,4,149.99,0.00,West,David Lee
1025,2024-03-10,C525,P505,Highlighter Set,Stationery,6,9.99,0.00,North,Alice Johnson
1026,2024-03-12,C526,P309,Docking Station,Electronics,1,199.99,0.15,South,Bob Smith
1027,2024-03-15,C527,P105,Executive Desk Chair,Furniture,2,299.50,0.10,East,Carol Davis
1028,2024-03-18,C528,P310,Noise Cancelling Headphones,Electronics,1,249.99,0.20,West,David Lee
1029,2024-03-20,C529,P506,Desk Organizer,Stationery,3,19.99,0.00,North,Alice Johnson
1030,2024-03-22,C530,P406,L-Shaped Desk,Furniture,1,799.00,0.10,South,Bob Smith
1031,2024-03-25,C531,P311,Portable Charger,Electronics,5,29.99,0.05,East,Carol Davis
1032,2024-03-28,C532,P507,Whiteboard Markers,Stationery,7,11.99,0.00,West,David Lee
1033,2024-04-01,C533,P201,Laptop Pro 15,Electronics,3,999.99,0.25,North,Alice Johnson
1034,2024-04-03,C534,P407,Monitor Arm,Furniture,1,89.99,0.00,South,Bob Smith
1035,2024-04-05,C535,P312,Wireless Trackpad,Electronics,2,69.99,0.10,East,Carol Davis
1036,2024-04-08,C536,P508,Binder Clips Assorted,Stationery,10,6.99,0.00,West,David Lee
1037,2024-04-10,C537,P408,Cable Management Tray,Furniture,3,34.99,0.00,North,Alice Johnson
1038,2024-04-12,C538,P313,USB Flash Drive 64GB,Electronics,8,14.99,0.05,South,Bob Smith
1039,2024-04-15,C539,P509,Paper Clips Box,Stationery,4,4.99,0.00,East,Carol Davis
1040,2024-04-18,C540,P409,Desk Lamp LED,Furniture,2,59.99,0.10,West,David Lee
1041,2024-04-20,C541,P314,Bluetooth Speaker,Electronics,1,89.99,0.15,North,Alice Johnson
1042,2024-04-22,C542,P510,Stapler Heavy Duty,Stationery,2,24.99,0.00,South,Bob Smith
1043,2024-04-25,C543,P105,Executive Desk Chair,Furniture,1,299.50,0.05,East,Carol Davis
